p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-1279.3284,-1106.4287,871.06055,-1130.2731,207.20126,1529.3756,668.6459,-463.93478
-1274.3225,-1106.4247,866.06433,-1130.2664,202.2019,1529.3832,663.64764,-463.93073
-1269.3167,-1106.4207,861.0681,-1130.2596,197.20255,1529.3907,658.6494,-463.92667
-1264.3108,-1106.4166,856.0719,-1130.2529,192.20319,1529.3983,653.6512,-463.9226
-1259.3049,-1106.4126,851.0757,-1130.2462,187.20383,1529.4059,648.65295,-463.91855
-1254.2991,-1106.4086,846.07947,-1130.2395,182.20447,1529.4135,643.6547,-463.9145
-1249.2932,-1106.4045,841.08325,-1130.2328,177.20511,1529.421,638.6565,-463.91043
-1244.2874,-1106.4005,836.08704,-1130.2261,172.20575,1529.4286,633.65826,-463.90637
-1239.2815,-1106.3965,831.0908,-1130.2194,167.20639,1529.4362,628.66003,-463.9023
-1234.2756,-1106.3925,826.0946,-1130.2126,162.20703,1529.4437,623.6618,-463.89825
-1229.2698,-1106.3884,821.0984,-1130.2059,157.20767,1529.4513,618.6636,-463.8942
-1224.2639,-1106.3844,816.1022,-1130.1992,152.20831,1529.4589,613.66534,-463.89014
-1219.258,-1106.3804,811.10596,-1130.1925,147.20895,1529.4664,608.6671,-463.88608
-1214.2522,-1106.3763,806.10974,-1130.1858,142.2096,1529.474,603.6689,-463.88202
-1209.2463,-1106.3723,801.1135,-1130.1791,137.21024,1529.4816,598.67065,-463.87796
-1204.2405,-1106.3683,796.1173,-1130.1724,132.21088,1529.4891,593.6724,-463.8739
-1199.2346,-1106.3643,791.1211,-1130.1656,127.21152,1529.4967,588.6742,-463.86984
-1194.2288,-1106.3602,786.1249,-1130.1589,122.21216,1529.5043,583.67596,-463.86578
-1189.2229,-1106.3562,781.12866,-1130.1522,117.2128,1529.5118,578.67773,-463.86172
-1184.217,-1106.3522,776.13245,-1130.1455,112.82347,1531.9126,573.6795,-463.85767
-1179.2112,-1106.3481,771.1362,-1130.1388,108.43414,1534.3134,568.6813,-463.8536
-1174.2053,-1106.3441,766.14,-1130.1321,104.044815,1536.7141,563.68304,-463.84955
-1169.1995,-1106.3401,761.1438,-1130.1254,99.65549,1539.1149,558.6848,-463.8455
-1164.1936,-1106.336,756.1476,-1130.1187,95.26616,1541.5156,553.6866,-463.84143
-1159.1877,-1106.332,751.15137,-1130.1119,90.87683,1543.9164,548.68835,-463.83737
-1154.1819,-1106.328,746.15515,-1130.1052,86.4875,1546.3171,543.6901,-463.8333
-1149.176,-1106.324,741.15894,-1130.0985,82.098175,1548.7179,538.6919,-463.82925
-1144.1702,-1106.32,736.1627,-1130.0918,77.70885,1551.1187,533.69366,-463.8252
-1139.1643,-1106.3159,731.1665,-1130.0851,73.31952,1553.5194,528.69543,-463.82114
-1134.1584,-1106.3119,726.1703,-1130.0784,68.93019,1555.9202,523.6972,-463.81708
-1129.1526,-1106.3079,721.1741,-1130.0717,64.54086,1558.3209,518.699,-463.81302
-1124.1467,-1106.3038,716.17786,-1130.065,60.151535,1560.7217,513.70074,-463.80896
-1119.1409,-1106.2998,711.18164,-1130.0582,55.762207,1563.1224,508.70248,-463.8049
-1114.135,-1106.2958,706.1854,-1130.0515,51.37288,1565.5232,503.70422,-463.80084
-1109.1292,-1106.2917,701.1892,-1130.0448,46.98355,1567.924,498.70596,-463.79678
-1104.1233,-1106.2877,696.193,-1130.0381,42.594223,1570.3247,493.7077,-463.79272
-1099.1174,-1106.2837,691.1968,-1130.0314,38.204895,1572.7255,488.70944,-463.78867
-1094.1116,-1106.2797,686.20056,-1130.0247,33.815567,1575.1262,483.71118,-463.7846
-1089.1057,-1106.2756,681.20435,-1130.018,29.426239,1577.527,478.71292,-463.78055
-1084.0999,-1106.2716,676.2081,-1130.0112,25.036911,1579.9277,473.71466,-463.7765
