p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
870.4559,271.27698,-138.85693,269.4355,-987.15686,468.69608,924.07983,956.8394
875.4597,271.28403,-133.8523,269.44366,-982.15594,468.6986,929.08856,956.8404
880.46356,271.29108,-128.84766,269.45184,-977.155,468.70114,934.0973,956.8414
885.4674,271.29813,-123.84301,269.46002,-972.1541,468.70367,939.106,956.84235
890.47125,271.30518,-118.83836,269.4682,-967.1532,468.7062,944.11475,956.8433
895.4751,271.31223,-113.83372,269.47638,-962.1523,468.70874,949.1235,956.8443
900.47894,271.31927,-108.82907,269.48456,-957.15137,468.71127,954.1322,956.8453
905.4828,271.32632,-103.824425,269.49274,-952.15045,468.7138,959.1409,956.84625
910.48663,271.33337,-98.81978,269.50092,-947.14954,468.71634,964.14966,956.8472
915.4905,271.34042,-93.81513,269.5091,-942.1486,468.71887,969.1584,956.8482
920.4943,271.34747,-88.810486,269.51727,-937.1477,468.7214,974.1671,956.8492
925.49817,271.35452,-83.80584,269.52545,-932.1468,468.72394,979.17584,956.85016
930.502,271.36157,-78.80119,269.53363,-927.1459,468.72647,984.1846,956.85114
935.50586,271.36862,-73.79655,269.5418,-922.14496,468.729,989.1933,956.8521
940.5097,271.37567,-68.7919,269.55,-917.14404,468.73154,994.202,956.8531
945.51355,271.38272,-63.787254,269.55817,-912.1431,468.73407,999.21075,956.85406
950.5174,271.38977,-58.782608,269.56635,-907.1422,468.7366,1004.2195,956.85504
955.52124,271.39682,-53.77796,269.57452,-902.1413,468.73914,1009.2282,956.856
960.5251,271.40387,-48.773315,269.5827,-897.1404,468.74167,1014.23694,956.857
965.52893,271.41092,-43.76867,269.59088,-892.13947,468.7442,1019.24567,956.858
970.5328,271.41797,-38.764023,269.59906,-887.13855,468.74673,1024.2544,956.85895
975.5366,271.42502,-33.759377,269.60724,-882.13763,468.74927,1029.2632,956.8599
980.54047,271.43207,-28.75473,269.61542,-877.1367,468.7518,1034.272,956.8609
985.5443,271.43912,-23.750084,269.6236,-872.1358,468.75433,1039.2808,956.8619
990.54816,271.44617,-18.745438,269.63177,-867.1349,468.75687,1044.2896,956.86285
995.552,271.45322,-13.740792,269.63995,-862.134,468.7594,1049.2983,956.86383
1000.55585,271.46027,-8.736147,269.64813,-857.13306,468.76193,1054.3071,956.8648
1005.5597,271.46732,-3.7315016,269.6563,-852.13214,468.76447,1059.3159,956.8658
1010.56354,271.47437,1.2731438,269.6645,-847.1312,468.767,1064.3247,956.86676
1015.5674,271.4814,6.277789,269.67267,-842.1303,468.76953,1069.3335,956.86774
1020.5712,271.48846,11.282434,269.68085,-837.1294,468.77206,1074.3423,956.8687
1025.5751,271.4955,16.287079,269.68903,-832.1285,468.7746,1079.3511,956.8697
1030.5789,271.50256,21.291725,269.6972,-827.12756,468.77713,1084.3599,956.87067
1035.5826,271.5096,26.296371,269.70538,-822.12665,468.77966,1089.3687,956.87164
1040.5864,271.51666,31.301018,269.71356,-817.12573,468.7822,1094.3774,956.8726
1045.5902,271.5237,36.305664,269.72174,-812.1248,468.78473,1099.3862,956.8736
1050.594,271.53076,41.31031,269.72992,-807.1239,468.78726,1104.395,956.8746
1055.5978,271.5378,46.314957,269.7381,-802.123,468.7898,1109.4038,956.87555
1060.6016,271.54486,51.319603,269.74628,-797.1221,468.79233,1114.4126,956.8765
