,Time,Energy
1083,10.83,1.2500045443175622e-09
1084,10.84,1.2500045443175622e-09
1085,10.85,1.2500044332952598e-09
1086,10.86,1.2500045443175622e-09
1087,10.87,1.2500044332952598e-09
1088,10.88,1.2500044332952598e-09
1089,10.89,1.2500045443175622e-09
1090,10.9,1.2500045443175622e-09
1091,10.91,1.2500044332952598e-09
1092,10.92,1.2500044332952598e-09
1093,10.93,1.2500044332952598e-09
1094,10.94,1.2500045443175622e-09
1095,10.95,1.2500045443175622e-09
1096,10.96,1.2500045443175622e-09
1097,10.97,1.2500044332952598e-09
1098,10.98,1.2500045443175622e-09
1099,10.99,1.2500045443175622e-09
1100,11.0,1.2500044332952598e-09
1101,11.01,1.2500044332952598e-09
1102,11.02,1.2500045443175622e-09
1103,11.03,1.2500045443175622e-09
1104,11.04,1.2500045443175622e-09
1105,11.05,1.2500045443175622e-09
1106,11.06,1.2500045443175622e-09
1107,11.07,1.2500045443175622e-09
1108,11.08,1.2500045443175622e-09
1109,11.09,1.2500044332952598e-09
1110,11.1,1.2500045443175622e-09
1111,11.11,1.2500045443175622e-09
1112,11.12,1.2500045443175622e-09
1113,11.13,1.2500045443175622e-09
1114,11.14,1.2500045443175622e-09
1115,11.15,1.2500045443175622e-09
1116,11.16,1.2500045443175622e-09
1117,11.17,1.2500045443175622e-09
1118,11.18,1.2500044332952598e-09
1119,11.19,1.2500045443175622e-09
1120,11.2,1.2500045443175622e-09
1121,11.21,1.2500044332952598e-09
1122,11.22,1.2500045443175622e-09
1123,11.23,1.2500045443175622e-09
1124,11.24,1.2500045443175622e-09
1125,11.25,1.2500044332952598e-09
1126,11.26,1.2500045443175622e-09
1127,11.27,1.2500045443175622e-09
1128,11.28,1.2500045443175622e-09
1129,11.29,1.2500045443175622e-09
1130,11.3,1.2500045443175622e-09
1131,11.31,1.2500045443175622e-09
1132,11.32,1.2500045443175622e-09
1133,11.33,1.2500045443175622e-09
1134,11.34,1.2500045443175622e-09
1135,11.35,1.2500045443175622e-09
1136,11.36,1.2500045443175622e-09
1137,11.37,1.2500044332952598e-09
1138,11.38,1.2500045443175622e-09
1139,11.39,1.2500045443175622e-09
1140,11.4,1.2500045443175622e-09
1141,11.41,1.2500045443175622e-09
1142,11.42,1.2500045443175622e-09
1143,11.43,1.2500045443175622e-09
1144,11.44,1.2500045443175622e-09
1145,11.45,1.2500045443175622e-09
1146,11.46,1.2500045443175622e-09
1147,11.47,1.2500045443175622e-09
1148,11.48,1.2500045443175622e-09
1149,11.49,1.2500045443175622e-09
1150,11.5,1.2500045443175622e-09
1151,11.51,1.2500045443175622e-09
1152,11.52,1.2500045443175622e-09
1153,11.53,1.2500045443175622e-09
1154,11.54,1.2500045443175622e-09
1155,11.55,1.2500045443175622e-09
1156,11.56,1.2500045443175622e-09
1157,11.57,1.2500045443175622e-09
1158,11.58,1.2500045443175622e-09
1159,11.59,1.2500045443175622e-09
1160,11.6,1.2500045443175622e-09
1161,11.61,1.2500045443175622e-09
1162,11.62,1.2500045443175622e-09
1163,11.63,1.2500045443175622e-09
1164,11.64,1.2500045443175622e-09
1165,11.65,1.2500045443175622e-09
1166,11.66,1.2500044332952598e-09
1167,11.67,1.2500045443175622e-09
1168,11.68,1.2500045443175622e-09
1169,11.69,1.2500045443175622e-09
1170,11.7,1.2500045443175622e-09
1171,11.71,1.2500045443175622e-09
1172,11.72,1.2500045443175622e-09
1173,11.73,1.2500044332952598e-09
1174,11.74,1.2500045443175622e-09
1175,11.75,1.2500045443175622e-09
1176,11.76,1.2500045443175622e-09
1177,11.77,1.2500045443175622e-09
1178,11.78,1.2500045443175622e-09
1179,11.79,1.2500045443175622e-09
1180,11.8,1.2500045443175622e-09
1181,11.81,1.2500045443175622e-09
1182,11.82,1.2500045443175622e-09
1183,11.83,1.2500045443175622e-09
1184,11.84,1.2500045443175622e-09
1185,11.85,1.2500045443175622e-09
1186,11.86,1.2500045443175622e-09
1187,11.87,1.2500045443175622e-09
1188,11.88,1.2500045443175622e-09
1189,11.89,1.2500045443175622e-09
1190,11.9,1.2500045443175622e-09
1191,11.91,1.2500045443175622e-09
1192,11.92,1.2500045443175622e-09
1193,11.93,1.2500045443175622e-09
1194,11.94,1.2500044332952598e-09
1195,11.95,1.2500045443175622e-09
1196,11.96,1.2500045443175622e-09
